"","Age.at.which.Full.Time.Education.Ceased","Sex","CensusYear","Province.County.or.City","Highest.Level.of.Education.Completed","value"
"33695","Full-time education not ceased - Total at school, university, etc.","Female","2011","South Dublin","Total whose full-time education has not ceased",11043
"33696","Full-time education not ceased - Other","Female","2011","South Dublin","Total whose full-time education has not ceased",6515
"33697","Total persons","Both sexes","2011","Kildare","Total whose full-time education has not ceased",27153
"33698","Total whose full-time education has ceased","Both sexes","2011","Kildare","Total whose full-time education has not ceased",NA
"33699","Under 15 years","Both sexes","2011","Kildare","Total whose full-time education has not ceased",NA
"33700","15 years","Both sexes","2011","Kildare","Total whose full-time education has not ceased",NA
"33701","16 years","Both sexes","2011","Kildare","Total whose full-time education has not ceased",NA
"33702","17 years","Both sexes","2011","Kildare","Total whose full-time education has not ceased",NA
"33703","18 years","Both sexes","2011","Kildare","Total whose full-time education has not ceased",NA
"33704","19 years","Both sexes","2011","Kildare","Total whose full-time education has not ceased",NA
"33705","20 years","Both sexes","2011","Kildare","Total whose full-time education has not ceased",NA
"33706","21 years","Both sexes","2011","Kildare","Total whose full-time education has not ceased",NA
"33707","22 years","Both sexes","2011","Kildare","Total whose full-time education has not ceased",NA
"33708","23 years","Both sexes","2011","Kildare","Total whose full-time education has not ceased",NA
"33709","24 years","Both sexes","2011","Kildare","Total whose full-time education has not ceased",NA
"33710","25 years and over","Both sexes","2011","Kildare","Total whose full-time education has not ceased",NA
"33711","Not stated","Both sexes","2011","Kildare","Total whose full-time education has not ceased",NA
"33712","Total whose full-time education has not ceased","Both sexes","2011","Kildare","Total whose full-time education has not ceased",27153
"33713","Full-time education not ceased - Total at school, university, etc.","Both sexes","2011","Kildare","Total whose full-time education has not ceased",18009
"33714","Full-time education not ceased - Other","Both sexes","2011","Kildare","Total whose full-time education has not ceased",9144
"33715","Total persons","Male","2011","Kildare","Total whose full-time education has not ceased",13430
"33716","Total whose full-time education has ceased","Male","2011","Kildare","Total whose full-time education has not ceased",NA
"33717","Under 15 years","Male","2011","Kildare","Total whose full-time education has not ceased",NA
"33718","15 years","Male","2011","Kildare","Total whose full-time education has not ceased",NA
"33719","16 years","Male","2011","Kildare","Total whose full-time education has not ceased",NA
"33720","17 years","Male","2011","Kildare","Total whose full-time education has not ceased",NA
"33721","18 years","Male","2011","Kildare","Total whose full-time education has not ceased",NA
"33722","19 years","Male","2011","Kildare","Total whose full-time education has not ceased",NA
"33723","20 years","Male","2011","Kildare","Total whose full-time education has not ceased",NA
"33724","21 years","Male","2011","Kildare","Total whose full-time education has not ceased",NA
"33725","22 years","Male","2011","Kildare","Total whose full-time education has not ceased",NA
"33726","23 years","Male","2011","Kildare","Total whose full-time education has not ceased",NA
"33727","24 years","Male","2011","Kildare","Total whose full-time education has not ceased",NA
"33728","25 years and over","Male","2011","Kildare","Total whose full-time education has not ceased",NA
"33729","Not stated","Male","2011","Kildare","Total whose full-time education has not ceased",NA
"33730","Total whose full-time education has not ceased","Male","2011","Kildare","Total whose full-time education has not ceased",13430
"33731","Full-time education not ceased - Total at school, university, etc.","Male","2011","Kildare","Total whose full-time education has not ceased",8919
"33732","Full-time education not ceased - Other","Male","2011","Kildare","Total whose full-time education has not ceased",4511
"33733","Total persons","Female","2011","Kildare","Total whose full-time education has not ceased",13723
"33734","Total whose full-time education has ceased","Female","2011","Kildare","Total whose full-time education has not ceased",NA
"33735","Under 15 years","Female","2011","Kildare","Total whose full-time education has not ceased",NA
"33736","15 years","Female","2011","Kildare","Total whose full-time education has not ceased",NA
"33737","16 years","Female","2011","Kildare","Total whose full-time education has not ceased",NA
"33738","17 years","Female","2011","Kildare","Total whose full-time education has not ceased",NA
"33739","18 years","Female","2011","Kildare","Total whose full-time education has not ceased",NA
"33740","19 years","Female","2011","Kildare","Total whose full-time education has not ceased",NA
"33741","20 years","Female","2011","Kildare","Total whose full-time education has not ceased",NA
"33742","21 years","Female","2011","Kildare","Total whose full-time education has not ceased",NA
"33743","22 years","Female","2011","Kildare","Total whose full-time education has not ceased",NA
"33744","23 years","Female","2011","Kildare","Total whose full-time education has not ceased",NA
"33745","24 years","Female","2011","Kildare","Total whose full-time education has not ceased",NA
"33746","25 years and over","Female","2011","Kildare","Total whose full-time education has not ceased",NA
"33747","Not stated","Female","2011","Kildare","Total whose full-time education has not ceased",NA
"33748","Total whose full-time education has not ceased","Female","2011","Kildare","Total whose full-time education has not ceased",13723
"33749","Full-time education not ceased - Total at school, university, etc.","Female","2011","Kildare","Total whose full-time education has not ceased",9090
"33750","Full-time education not ceased - Other","Female","2011","Kildare","Total whose full-time education has not ceased",4633
"33751","Total persons","Both sexes","2011","Kilkenny","Total whose full-time education has not ceased",11046
"33752","Total whose full-time education has ceased","Both sexes","2011","Kilkenny","Total whose full-time education has not ceased",NA
"33753","Under 15 years","Both sexes","2011","Kilkenny","Total whose full-time education has not ceased",NA
"33754","15 years","Both sexes","2011","Kilkenny","Total whose full-time education has not ceased",NA
"33755","16 years","Both sexes","2011","Kilkenny","Total whose full-time education has not ceased",NA
"33756","17 years","Both sexes","2011","Kilkenny","Total whose full-time education has not ceased",NA
"33757","18 years","Both sexes","2011","Kilkenny","Total whose full-time education has not ceased",NA
"33758","19 years","Both sexes","2011","Kilkenny","Total whose full-time education has not ceased",NA
"33759","20 years","Both sexes","2011","Kilkenny","Total whose full-time education has not ceased",NA
"33760","21 years","Both sexes","2011","Kilkenny","Total whose full-time education has not ceased",NA
"33761","22 years","Both sexes","2011","Kilkenny","Total whose full-time education has not ceased",NA
"33762","23 years","Both sexes","2011","Kilkenny","Total whose full-time education has not ceased",NA
"33763","24 years","Both sexes","2011","Kilkenny","Total whose full-time education has not ceased",NA
"33764","25 years and over","Both sexes","2011","Kilkenny","Total whose full-time education has not ceased",NA
"33765","Not stated","Both sexes","2011","Kilkenny","Total whose full-time education has not ceased",NA
"33766","Total whose full-time education has not ceased","Both sexes","2011","Kilkenny","Total whose full-time education has not ceased",11046
